dataset,linear_slope_per_year,linear_p_value,linear_r_value,mann_kendall_trend,mann_kendall_p_value,sen_slope
Annual Average Temperature,0.025993439488541163,3.6271958030917613e-31,0.8374760345781698,increasing,0.0,0.027240230203916294
Summer Average Temperature,0.01694469866832934,2.488310112101739e-11,0.5717602775191581,increasing,6.787459483348357e-10,0.017481884057971058
Winter Average Temperature,0.02897529418649979,5.678997474654642e-12,0.5844315572246116,increasing,2.2304091906732992e-10,0.030000000000000006
Days ≥ 35°C,0.0034794728460772386,0.7844720310383352,0.025444121382825664,no trend,0.4750867171372275,0.0
