year,avg_temp,avg_min_temp,avg_max_temp
1907,5.103260869565218,0.06739130434782602,10.416304347826086
1908,10.427322404371585,5.799726775956284,15.771857923497267
1909,10.60876712328767,5.832602739726028,16.01150684931507
1910,10.412054794520548,5.752602739726027,16.008767123287672
1911,10.654794520547945,6.035616438356165,16.001643835616438
1912,10.12377049180328,5.086885245901639,15.646994535519125
1913,10.086027397260274,4.975068493150685,15.651232876712328
1914,12.029041095890411,7.764657534246575,17.0613698630137
1915,10.898356164383562,6.630410958904109,15.906301369863014
1916,10.91120218579235,6.427322404371585,16.54590163934426
1917,9.858630136986301,4.872328767123288,15.583287671232876
1918,10.540273972602739,5.644109589041095,16.156712328767124
1919,11.151232876712328,6.063561643835616,16.882465753424658
1920,11.408469945355192,6.335792349726776,16.932513661202186
1921,10.96931506849315,6.198356164383562,16.46767123287671
1922,10.873150684931506,5.9249315068493145,16.35232876712329
1923,10.698630136986301,5.81041095890411,15.9586301369863
1924,11.070218579234972,5.862841530054645,16.677868852459017
1925,10.787397260273973,5.849041095890411,16.007397260273972
1926,10.557260273972602,5.655342465753424,15.689041095890412
1927,11.068219178082192,6.0,16.342191780821917
1928,11.12622950819672,5.891530054644809,16.671584699453554
1929,11.489863013698631,6.251232876712328,17.41123287671233
1930,11.793698630136985,6.683013698630138,17.463287671232877
1931,10.956438356164384,6.363561643835616,16.735342465753423
1932,11.67568306010929,7.251639344262295,17.546448087431695
1933,10.586027397260274,6.467123287671233,15.557808219178083
1934,10.2,5.902739726027397,15.19095890410959
1935,11.26904109589041,6.661643835616438,16.72931506849315
1936,9.777868852459015,5.298907103825137,15.09016393442623
1937,11.455342465753423,6.927397260273972,16.887671232876713
1938,11.013424657534246,6.465205479452055,16.35890410958904
1939,11.78109589041096,6.787123287671234,17.69095890410959
1940,10.772404371584699,6.048907103825137,16.27622950819672
1941,11.222739726027397,6.3372602739726025,16.840273972602738
1942,10.973424657534247,5.964657534246575,16.673424657534248
1943,11.723287671232876,6.471506849315068,17.871506849315068
1944,10.891803278688524,6.031147540983607,16.634699453551914
1945,10.437808219178082,5.768219178082192,16.084109589041095
1946,11.387671232876713,6.645753424657534,16.954520547945204
1947,9.655616438356164,5.070684931506849,14.878082191780821
1948,11.758469945355193,6.9338797814207656,17.36311475409836
1949,11.7,7.400273972602739,17.285479452054794
1950,13.478189300411522,9.104526748971194,19.075308641975308
1953,0.6419354838709677,-3.4612903225806453,4.551612903225807
1954,11.487945205479454,7.1816438356164385,16.598082191780822
1955,11.512876712328767,7.116164383561644,16.744657534246574
1956,10.113387978142077,5.842622950819672,15.0672131147541
1957,10.516438356164384,6.226849315068494,15.723835616438356
1958,11.637260273972604,7.394246575342466,16.79013698630137
1959,12.07972602739726,7.908767123287671,17.04876712328767
1960,12.10464480874317,7.7901639344262295,16.99153005464481
1961,12.454520547945204,8.131232876712328,17.206849315068492
1962,11.756986301369864,7.382739726027396,16.536438356164386
1963,11.312876712328766,7.233972602739726,16.066027397260275
1964,12.221038251366119,8.42704918032787,16.73087431693989
1965,11.395890410958904,7.1068493150684935,16.45150684931507
1966,11.577808219178081,7.496712328767123,16.343287671232876
1967,11.676164383561645,7.787637362637362,16.579945054945057
1968,11.78825136612022,7.684699453551913,16.842349726775957
1969,10.928493150684933,7.084657534246576,15.505753424657534
1970,11.421643835616438,7.5380821917808225,16.18931506849315
1971,11.551232876712328,7.7972602739726025,16.13150684931507
1972,11.917213114754098,8.036612021857923,16.507650273224044
1973,12.096164383561645,8.298356164383561,16.83232876712329
1974,11.155068493150685,7.244657534246576,15.981643835616438
1975,12.520000000000001,8.683013698630138,17.446575342465753
1976,11.48032786885246,7.46256830601093,16.395628415300546
1977,12.373150684931506,8.17123287671233,17.340821917808217
1978,12.44958904109589,8.518904109589041,17.281369863013698
1979,12.506849315068493,8.62958904109589,17.244383561643836
1980,10.82431693989071,6.825409836065574,15.662021857923497
1981,11.226575342465752,7.240821917808219,15.872876712328768
1982,12.5586301369863,8.401917808219178,17.484383561643835
1983,12.454246575342466,8.39041095890411,16.96246575342466
1984,11.596994535519126,7.66775956284153,16.486065573770492
1985,11.617808219178082,7.78027397260274,16.25178082191781
1986,11.306027397260273,7.4430136986301365,15.763013698630138
1987,11.986027397260273,7.99013698630137,16.503561643835617
1988,12.121311475409835,8.003005464480873,16.877322404371586
1989,13.011232876712329,9.05945205479452,17.555342465753423
1990,12.838904109589041,9.042465753424658,17.142739726027397
1991,12.397534246575344,8.252328767123288,17.033972602739723
1992,12.501092896174862,8.544535519125684,16.967486338797816
1993,12.084657534246574,8.143835616438356,16.729589041095892
1994,13.612328767123287,9.583287671232878,18.373698630136985
1995,12.266849315068493,8.30904109589041,16.7
1996,12.25792349726776,8.362295081967213,16.870218579234972
1997,12.956712328767123,8.801917808219178,17.721917808219178
1998,13.835890410958905,9.878356164383561,18.43068493150685
1999,13.256986301369864,9.055616438356164,17.88027397260274
2000,12.713661202185792,8.6327868852459,17.174043715846995
2001,12.859726027397262,8.987397260273973,17.373972602739727
2002,12.914246575342466,9.131232876712328,17.235616438356164
2003,12.869589041095889,9.201917808219177,17.039178082191782
