season_year,summer_avg_temp,winter_avg_temp
1907,,-3.7989010989010987
1908,22.872826086956525,-2.1577777777777776
1909,23.51086956521739,-3.02
1910,22.463043478260868,-3.632222222222222
1911,22.96195652173913,-2.2879120879120878
1912,23.077173913043477,-3.9533333333333336
1913,22.13804347826087,-1.2622222222222221
1914,24.37391304347826,-2.558888888888889
1915,23.438043478260873,0.013186813186813159
1916,23.06413043478261,-4.644444444444445
1917,24.02173913043478,-4.538888888888889
1918,22.718478260869563,-2.663333333333333
1919,24.32608695652174,-4.275824175824176
1920,23.955434782608698,-1.7577777777777779
1921,23.25326086956522,-2.701111111111111
1922,23.88586956521739,-4.297777777777778
1923,23.75326086956522,-2.146153846153846
1924,24.633695652173916,-2.878888888888889
1925,23.09130434782609,-2.941111111111111
1926,23.433695652173913,-3.691111111111111
1927,24.032608695652176,-3.2142857142857144
1928,24.085869565217394,-3.1811111111111114
1929,24.99673913043478,-0.76
1930,24.46521739130435,-2.4766666666666666
1931,22.96521739130435,-1.012087912087912
1932,24.440217391304348,-3.184444444444445
1933,23.436956521739127,-3.4522222222222223
1934,22.713043478260868,-0.8888888888888888
1935,23.019565217391307,-5.743956043956045
1936,22.35978260869565,-1.3622222222222222
1937,24.317391304347826,-4.561111111111111
1938,23.847826086956523,-3.2311111111111113
1939,25.344565217391303,-3.576923076923077
1940,22.607608695652175,-2.126666666666667
1941,22.940217391304348,-3.1466666666666665
1942,24.51195652173913,-3.443333333333333
1943,25.10108695652174,-2.242857142857143
1944,24.059782608695652,-6.185555555555556
1945,22.93586956521739,-1.891111111111111
1946,24.099999999999998,-4.496666666666666
1947,22.293478260869566,-3.840659340659341
1948,23.69347826086957,0.6777777777777778
1949,23.82282608695652,-1.0477777777777777
1950,24.46195652173913,
1953,,-0.1622222222222222
1954,22.436956521739127,-2.9122222222222223
1955,24.032608695652176,-2.223076923076923
1956,22.980434782608693,-4.359999999999999
1957,22.219565217391306,-2.5
1958,23.905434782608697,0.37333333333333335
1959,23.558695652173913,-0.2153846153846154
1960,23.916304347826088,-2.7255555555555557
1961,25.00108695652174,-1.6222222222222222
1962,24.127173913043475,-3.5488888888888885
1963,23.820652173913043,-0.8945054945054945
1964,24.202173913043477,-1.788888888888889
1965,23.554347826086957,-2.256666666666667
1966,23.63695652173913,-3.3400000000000003
1967,24.525000000000002,-4.443956043956043
1968,23.546739130434784,-0.9766666666666666
1969,22.981521739130436,-2.4044444444444446
1970,23.150000000000002,-1.4322222222222223
1971,23.39673913043478,-0.3076923076923077
1972,23.49673913043478,0.5311111111111111
1973,24.724999999999998,-2.5188888888888887
1974,22.819565217391304,-1.3655555555555556
1975,24.471739130434784,-0.9527472527472528
1976,22.707608695652173,-2.924444444444444
1977,24.40108695652174,-0.7677777777777777
1978,24.73913043478261,1.0611111111111111
1979,23.731521739130436,-1.7868131868131867
1980,22.391304347826086,-4.178888888888889
1981,23.942391304347826,-1.0055555555555555
1982,24.167391304347827,-1.1644444444444444
1983,23.93913043478261,-3.5032967032967033
1984,24.742391304347827,-2.418888888888889
1985,24.59130434782609,-4.081111111111111
1986,23.28369565217391,-0.4244444444444444
1987,23.49021739130435,-0.8923076923076924
1988,24.370652173913044,1.0577777777777777
1989,23.745652173913044,0.2222222222222222
1990,24.053260869565218,-0.9133333333333333
1991,24.14673913043478,0.9076923076923076
1992,23.52282608695652,0.16222222222222227
1993,22.597826086956523,-0.12222222222222222
1994,26.34130434782609,0.0577777777777778
1995,24.06847826086957,-1.5912087912087913
1996,24.256521739130434,-0.3788888888888889
1997,25.46630434782609,1.19
1998,23.957608695652173,0.7366666666666666
1999,24.99891304347826,-1.1
2000,25.580434782608698,-1.218888888888889
2001,24.98586956521739,0.7911111111111111
2002,23.914130434782606,0.5233333333333333
2003,23.182608695652174,0.45494505494505494
2004,24.73695652173913,-0.8111111111111111
2005,24.381521739130434,-1.3844444444444444
2006,24.01521739130435,1.8533333333333335
2007,24.618478260869566,-0.35384615384615387
2008,24.01195652173913,0.6055555555555556
2009,24.161956521739132,-1.4566666666666666
2010,25.23804347826087,-2.5344444444444445
2011,24.153260869565216,-1.8978021978021977
2012,25.577173913043477,-2.986666666666667
2013,25.891304347826086,0.30333333333333334
2014,24.81086956521739,-1.0033333333333334
2015,25.247826086956525,-0.48571428571428577
2016,25.968478260869563,-0.2777777777777778
2017,25.393478260869564,-2.5466666666666664
2018,26.60217391304348,-0.21111111111111114
2019,25.219565217391303,1.843956043956044
2020,24.86086956521739,-0.08777777777777779
2021,25.62826086956522,-0.9055555555555556
2022,25.481521739130436,-0.7788888888888889
2023,25.78478260869565,1.4318681318681319
2024,26.86521739130435,-0.2211111111111111
2025,27.05217391304348,0.027777777777777797
